Airport, CitySt, Weather, Time
KHYS,TREGO KANSAS,KHYS 112000Z AUTO 03009KT 5SM -SN BR OVC004 01/01 RMK T00100010 MADISHFHYS,20:00
KGBD,RUSH KANSAS,KGBD 112000Z AUTO 06009KT 10SM -RA OVC004 02/02 A2992 RMK T00200020 MADISHFGBD,20:00
KBWI,CARROLL MARYLAND,KBWI 121700Z AUTO 00000KT 10SM BKN075 OVC090 01/M12 A3052 RMK T00101120 MADISHFBWI,17:00
KILG,CALVERT MARYLAND,KILG 121700Z AUTO 00000KT 10SM CLR 00/M14 A3054 RMK T00001140 MADISHFILG,17:00
KROA,ROCKINGHAM VIRGINIA,KROA 121500Z AUTO 12005KT 10SM SCT047 BKN079 OVC090 00/M09 A3050 RMK T00001090 MADISHFROA,15:00
KMKG,MUSKEGON MICHIGAN,KMKG 280100Z AUTO 07005KT 10SM SCT027 BKN030 M14/M18 A3007 RMK T11401180 MADISHFMKG,01:00
KCHO,WARREN VIRGINIA,KCHO 121500Z AUTO 00000KT 10SM FEW042 SCT075 OVC100 01/M08 A3051 RMK T00101080 MADISHFCHO,15:00
KGRR,NEWAYGO MICHIGAN,KGRR 280100Z AUTO 02004KT 10SM OVC031 M13/M18 A3006 RMK T11301180 MADISHFGRR,01:00
KIAD,FAIRFAX VIRGINIA,KIAD 121500Z AUTO 00000KT 10SM OVC085 00/M07 A3054 RMK T00001070 MADISHFIAD,15:00
KMIW,UNION IOWA,KMIW 112000Z AUTO 11007KT 10SM OVC029 01/M04 A3015 RMK T00101040 MADISHFMIW,20:00
KCMX,OSCEOLA MICHIGAN,KCMX 280100Z AUTO 09003KT 10SM SCT014 BKN028 M24/M28 A2997 RMK T12401280 MADISHFCMX,01:00
KLWD,DECATUR IOWA,KLWD 111800Z AUTO 13006KT 10SM SCT043 OVC060 02/M04 A3012 RMK T00201040 MADISHFLWD,18:00
KCID,MARION IOWA,KCID 112000Z AUTO 11008KT 10SM OVC075 M01/M06 A3019 RMK T10101060 MADISHFCID,20:00
KSLN,LINCOLN KANSAS,KSLN 111650Z AUTO 14004KT 5SM RA BR OVC016 03/02 A3006 RMK P0005 T00300020 MADISHFSLN,16:45
KRSL,RUSSELL KANSAS,KRSL 111650Z AUTO 13007KT 10SM BKN012 BKN035 OVC075 02/01 A3000 RMK T00200010 MADISHFRSL,16:45
KHUT,MCPHERSON KANSAS,KHUT 111720Z AUTO 13009KT 5SM RA BR OVC004 03/03 A3001 RMK P0000 T00300030 MADISHFHUT,17:15
KSLN,BARTON KANSAS,KSLN 112030Z AUTO 09005KT 5SM RA BR BKN006 BKN009 OVC046 03/03 RMK P0003 T00300030 MADISHFSLN,20:25
KBKL,HENRY OHIO,KBKL 190700Z AUTO 06008KT 6SM OVC033 M01/M05 A3018 RMK T10101050 MADISHFBKL,07:00
KBVX,FRANKLIN ARKANSAS,KBVX 190820Z AUTO 00000KT 2SM -RA BR OVC003 13/12 A2962 RMK T01300120 MADISHFBVX,08:15
KDDH,BENNINGTON VERMONT,KDDH 191600Z AUTO 00000KT 10SM OVC095 M07/M12 A3026 RMK T10701120 MADISHFDDH,16:00
KDFI,DEFIANCE OHIO,KDFI 190700Z AUTO 06010KT 10SM BKN012 OVC025 M03/M05 A3010 RMK T10301050 MADISHFDFI,07:00
KZZV,PUTNAM OHIO,KZZV 190700Z AUTO 08005KT 5SM BR CLR 00/M02 A3007 RMK T00001020 MADISHFZZV,07:00
KDFI,PAULDING OHIO,KDFI 190700Z AUTO 06010KT 10SM BKN012 OVC025 M03/M05 A3010 RMK T10301050 MADISHFDFI,07:00
KDDH,BENNINGTON VERMONT,KDDH 220200Z AUTO 10007KT 10SM OVC110 06/M01 A2979 RMK T00601010 MADISHFDDH,02:00
KMCI,HOLT MISSOURI,KMCI 111500Z AUTO 16009KT 10SM BKN044 OVC065 04/M02 A3013 RMK T00401020 MADISHFMCI,15:00
KLWD,GENTRY MISSOURI,KLWD 111500Z AUTO 15006KT 10SM SCT007 OVC032 M01/M03 A3014 RMK T10101030 MADISHFLWD,15:00
KPOF,BUCHANAN MISSOURI,KPOF 111500Z AUTO 09003KT 9SM BKN070 OVC085 M01/M03 A3035 RMK T10101030 MADISHFPOF,15:00
KCGI,JACKSON MISSOURI,KCGI 111400Z AUTO 13003KT 10SM OVC079 M01/M06 A3035 RMK T10101060 MADISHFCGI,14:00
KLWD,MERCER MISSOURI,KLWD 111500Z AUTO 15006KT 10SM SCT007 OVC032 M01/M03 A3014 RMK T10101030 MADISHFLWD,15:00
KIRK,ADAIR MISSOURI,KIRK 111500Z AUTO 12007KT 10SM OVC060 M01/M04 A3020 RMK T10101040 MADISHFIRK,15:00
KLWD,WORTH MISSOURI,KLWD 111500Z AUTO 15006KT 10SM SCT007 OVC032 M01/M03 A3014 RMK T10101030 MADISHFLWD,15:00
KBTV,ESSEX VERMONT,KBTV 121900Z AUTO 19003KT 10SM OVC090 M09/M17 A3026 RMK T10901170 MADISHFBTV,19:00
KMPV,ORANGE VERMONT,KMPV 121900Z AUTO 05003KT 10SM OVC075 M11/M18 A3028 RMK T11101180 MADISHFMPV,19:00
KRDG,SCHUYLKILL PENNSYLVANIA,KRDG 111700Z AUTO 32003KT 10SM OVC014 00/M02 A3028 RMK T00001020 MADISHFRDG,17:00
KLWD,SALINE MISSOURI,KLWD 111200Z AUTO 14008KT 10SM OVC033 00/M06 A3015 RMK T00001060 MADISHFLWD,12:00
KAGC,FULTON PENNSYLVANIA,KAGC 111500Z AUTO 16004KT 1SM -SN BR FEW003 BKN007 OVC038 00/00 A3015 RMK P0000 T00000000 MADISHFAGC,15:00
KMPV,WASHINGTON VERMONT,KMPV 121800Z AUTO 00000KT 10SM OVC100 M12/M18 RMK T11201180 MADISHFMPV,18:00
KJEF,LINN MISSOURI,KJEF 111500Z AUTO 13008KT 10SM BKN055 OVC079 03/M04 A3025 RMK T00301040 MADISHFJEF,15:00
KIRK,MACON MISSOURI,KIRK 111500Z AUTO 12007KT 10SM OVC060 M01/M04 A3020 RMK T10101040 MADISHFIRK,15:00
KMKC,RANDOLPH MISSOURI,KMKC 111500Z AUTO 14005KT 10SM -RA FEW048 OVC060 04/00 A3015 RMK T00400000 MADISHFMKC,15:00
KHFD,HARTFORD CONNECTICUT,KHFD 191900Z AUTO 13006KT 10SM OVC050 02/M07 A3019 RMK T00201070 MADISHFHFD,19:00
KALO,BUTLER IOWA,KALO 271800Z AUTO 16007KT 10SM CLR M16/M21 A3009 RMK T11601210 MADISHFALO,18:00
KMIW,GRUNDY IOWA,KMIW 271800Z AUTO 16006KT 10SM FEW039 OVC060 M17/M19 A3006 RMK T11701190 MADISHFMIW,18:00
KUGN,MCHENRY ILLINOIS,KUGN 272230Z AUTO 00000KT 10SM CLR M14/M24 A3005 RMK T11401240 MADISHFUGN,22:30
KCID,LOUISA IOWA,KCID 181600Z AUTO 08006KT 10SM BKN015 BKN019 M06/M08 A3013 RMK T10601080 MADISHFCID,16:00
KBTV,ESSEX VERMONT,KBTV 191900Z AUTO 32010KT 2SM -SN BKN028 OVC046 M19/M24 A3034 RMK T11901240 MADISHFBTV,19:00
KRSL,OSBORNE KANSAS,KRSL 111900Z AUTO 07006KT 4SM RA BR OVC004 02/02 A2995 RMK P0000 T00200020 MADISHFRSL,19:00
KALO,BREMER IOWA,KALO 271800Z AUTO 16007KT 10SM CLR M16/M21 A3009 RMK T11601210 MADISHFALO,18:00
KHTL,ALGER MICHIGAN,KHTL 262200Z AUTO 17009KT 10SM OVC031 M13/M18 A2992 RMK T11301180 MADISHFHTL,22:00
KPIA,PEORIA ILLINOIS,KPIA 190100Z AUTO 09011KT 8SM OVC013 M01/M03 A3004 RMK T10101030 MADISHFPIA,01:00
KMIE,RANDOLPH INDIANA,KMIE 190530Z AUTO 10013KT 6SM HZ OVC015 01/M02 A3002 RMK T00101020 MADISHFMIE,05:30
KLXT,CAMDEN MISSOURI,KLXT 111400Z AUTO /////KT 10SM -RA OVC047 03/00 A3013 RMK T00300000 MADISHFLXT,14:00
KOFP,CAROLINE VIRGINIA,KOFP 121800Z AUTO 00000KT 10SM BKN065 OVC079 03/M08 A3052 RMK T00301080 MADISHFOFP,18:00
KROA,BOTETOURT VIRGINIA,KROA 121240Z AUTO 12006KT 10SM OVC070 M01/M10 A3045 RMK T10101100 MADISHFROA,12:40
KMKT,NICOLLET MINNESOTA,KMKT 271700Z AUTO 14008KT 10SM CLR M21/M24 A3005 RMK T12101240 MADISHFMKT,17:00
KCMX,ONTONAGON MICHIGAN,KCMX 240800Z AUTO 27004KT 6SM -SN BKN011 OVC036 M08/M11 A2965 RMK T10801110 MADISHFCMX,08:00
KCMX,KEWEENAW MICHIGAN,KCMX 262200Z AUTO 24012KT 1SM -SN VV018 M16/M21 A2978 RMK T11601210 MADISHFCMX,22:00
KBMI,TAZEWELL ILLINOIS,KBMI 190100Z AUTO 08012KT 3SM BR OVC011 M01/M02 A3005 RMK T10101020 MADISHFBMI,01:00
KCHO,WARREN VIRGINIA,KCHO 200300Z AUTO 00000KT 10SM CLR 03/M06 A3056 RMK T00301060 MADISHFCHO,03:00
KFNB,NEMAHA NEBRASKA,KFNB 211800Z AUTO 12018G26KT 10SM FEW013 M06/M09 A3001 RMK T10601090 MADISHFFNB,18:00
KIAD,FAIRFAX VIRGINIA,KIAD 200500Z AUTO 00000KT 10SM CLR 00/M08 A3056 RMK T00001080 MADISHFIAD,05:00
KCMX,KEWEENAW MICHIGAN,KCMX 070100Z AUTO 12017KT 10SM CLR M03/M08 A3018 RMK T10301080 MADISHFCMX,01:00
KAUW,MARATHON WISCONSIN,KAUW 280100Z AUTO 13004KT 10SM OVC100 M18/M28 A2989 RMK T11801280 MADISHFAUW,01:00
KLNR,RICHLAND WISCONSIN,KLNR 220830Z AUTO 13011KT 10SM CLR M09/M16 A3018 RMK T10901160 MADISHFLNR,08:30
KLYH,BEDFORD VIRGINIA,KLYH 121250Z AUTO 04004KT 10SM SCT055 OVC070 M01/M09 A3045 RMK T10101090 MADISHFLYH,12:45
KEYE,FAYETTE INDIANA,KEYE 121000Z AUTO 09004KT 1SM -SN BR VV012 M02/M03 A3026 RMK P0000 T10201030 MADISHFEYE,10:00
KCVG,KENTON KENTUCKY,KCVG 122000Z AUTO 08010KT 5SM BR FEW008 SCT060 OVC075 01/M02 A3020 RMK T00101020 MADISHFCVG,20:00
KCWI,CLINTON IOWA,KCWI 181500Z AUTO 00000KT 10SM OVC018 M03/M06 A3017 RMK T10301060 MADISHFCWI,15:00
KCVG,DELAWARE INDIANA,KCVG 190530Z AUTO 11010KT 8SM OVC019 02/M01 A3001 RMK T00201010 MADISHFCVG,05:30
KLOU,MADISON INDIANA,KLOU 190530Z AUTO 09010KT 10SM BKN021 OVC038 05/01 A2994 RMK T00500010 MADISHFLOU,05:30
KHTL,ALGER MICHIGAN,KHTL 070100Z AUTO 10010KT 10SM CLR M03/M09 A3032 RMK T10301090 MADISHFHTL,01:00
KMNM,MENOMINEE MICHIGAN,KMNM 062300Z AUTO 08008KT 10SM OVC025 M01/M05 A3029 RMK T10101050 MADISHFMNM,23:00
KMIW,MARSHALL IOWA,KMIW 221500Z AUTO 12009KT 1 1/2SM BR OVC004 M04/M04 A2992 RMK T10401040 MADISHFMIW,15:00
KCHO,CAMPBELL VIRGINIA,KCHO 121330Z AUTO 20003KT 10SM FEW039 SCT060 OVC079 00/M08 A3050 RMK T00001080 MADISHFCHO,13:25
KLUK,MONTGOMERY OHIO,KLUK 121000Z AUTO 03003KT 2SM -SN BR BKN012 OVC025 M02/M03 A3032 RMK T10201030 MADISHFLUK,10:00
KIND,LAWRENCE INDIANA,KIND 190400Z AUTO 11009KT 8SM OVC009 01/M01 A3004 RMK T00101010 MADISHFIND,04:00
KJHW,WARREN PENNSYLVANIA,KJHW 191300Z AUTO 05005KT 1SM -SN BR OVC013 M08/M08 A3011 RMK T10801080 MADISHFJHW,13:00
KPMV,MILLS IOWA,KPMV 120730Z AUTO 02005KT 1 1/4SM -SN OVC003 00/00 A3010 RMK AO2 P0001 T00001002PMV,07:25
KRFD,WINNEBAGO ILLINOIS,KRFD 182000Z AUTO 05012KT 1 1/2SM -SN BKN019 OVC032 M04/M07 A3014 RMK T10401070 MADISHFRFD,20:00
KMNM,MENOMINEE MICHIGAN,KMNM 280100Z AUTO 00000KT 10SM CLR M20/M25 A3004 RMK T12001250 MADISHFMNM,01:00
KCMX,ONTONAGON MICHIGAN,KCMX 290700Z AUTO 04008KT 10SM BKN100 M15/M21 A2968 RMK T11501210 MADISHFCMX,07:00
KERI,MCKEAN PENNSYLVANIA,KERI 191300Z AUTO 07010KT 2 1/2SM -SN BR OVC028 M04/M07 A3015 RMK T10401070 MADISHFERI,13:00
KHZY,PERRY OHIO,KHZY 191900Z AUTO 04006KT 1/2SM -SN FZFG VV014 M03/M05 A2990 RMK T10301050 MADISHFHZY,19:00
KMTW,KEWAUNEE WISCONSIN,KMTW 280100Z AUTO 00000KT 10SM CLR M21/M25 A3005 RMK T12101250 MADISHFMTW,01:00
KLWD,DECATUR IOWA,KLWD 221500Z AUTO 14009KT 2 1/2SM BR OVC004 M01/M02 A2984 RMK T10101020 MADISHFLWD,15:00
KRPJ,LEE ILLINOIS,KRPJ 182030Z AUTO 05014KT 7SM OVC017 M03/M05 A3014 RMK AO2 T10341055RPJ,20:30
KLYH,AMHERST VIRGINIA,KLYH 121400Z AUTO 06005KT 10SM OVC090 M01/M09 A3045 RMK T10101090 MADISHFLYH,14:00
KSUX,LEE IOWA,KSUX 111900Z AUTO 00000KT 10SM CLR 01/M03 A3010 RMK T00101030 MADISHFSUX,19:00
KCMX,KEWEENAW MICHIGAN,KCMX 290700Z AUTO 04008KT 10SM BKN100 M15/M21 A2968 RMK T11501210 MADISHFCMX,07:00
KBTV,ESSEX VERMONT,KBTV 081900Z AUTO ///12G18KT 10SM BKN012 OVC035 02/M01 A2979 RMK T00201010 MADISHFBTV,19:00
KHNB,JASPER INDIANA,KHNB 120600Z AUTO 09008KT 1 1/2SM -SN BR BKN006 BKN011 OVC016 M01/M02 A3026 RMK T10101020 CIG 3V8  MADISHFHNB,06:00
KGSH,BENTON INDIANA,KGSH 120400Z AUTO 07004KT 7SM FEW075 M03/M06 A3035 RMK T10301060 MADISHFGSH,04:00
KOSH,WINNEBAGO WISCONSIN,KOSH 280100Z AUTO 17004KT 10SM CLR M19/M24 A3000 RMK T11901240 MADISHFOSH,01:00
KMTW,MANITOWOC WISCONSIN,KMTW 280100Z AUTO 00000KT 10SM CLR M21/M25 A3005 RMK T12101250 MADISHFMTW,01:00
KRIC,RICHMOND VIRGINIA,KRIC 121800Z AUTO 17003KT 10SM FEW060 SCT079 OVC090 03/M09 A3050 RMK T00301090 VRB03KT  MADISHFRIC,18:00
KCID,MARION IOWA,KCID 221500Z AUTO 13009KT 2SM BR OVC009 M06/M06 A2995 RMK T10601060 MADISHFCID,15:00
KUGN,MCHENRY ILLINOIS,KUGN 181700Z AUTO 34004KT 10SM OVC024 M03/M09 A3020 RMK T10301090 VRB04KT  MADISHFUGN,17:00
KSET,KANE ILLINOIS,KSET 182030Z AUTO 12011KT 6SM BR OVC009 02/01 A3002 RMK T00200010 CIG 8V12  MADISHFSET,20:30
KLSE,DAKOTA MINNESOTA,KLSE 271900Z AUTO 00000KT 10SM CLR M16/M24 A3006 RMK T11601240 MADISHFLSE,19:00
KJLN,SCOTLAND MISSOURI,KJLN 111900Z AUTO 15008KT 7SM -RA SCT009 BKN027 OVC037 04/02 A3009 RMK T00400020 MADISHFJLN,19:00
KCOU,CLARK MISSOURI,KCOU 111900Z AUTO 13007KT 1SM -SN BR BKN004 OVC021 01/00 A3017 RMK P0002 T00100000 MADISHFCOU,19:00
KMSN,DOOR WISCONSIN,KMSN 280100Z AUTO 13007KT 10SM OVC120 M17/M22 A2995 RMK T11701220 MADISHFMSN,01:00
KBIV,ALLEGAN MICHIGAN,KBIV 290100Z AUTO 31007KT 2SM -SN OVC016 M09/M12 A2962 RMK T10901120 MADISHFBIV,01:00
KEAU,CHIPPEWA WISCONSIN,KEAU 272100Z AUTO 13005KT 10SM CLR M17/M25 A2995 RMK T11701250 MADISHFEAU,21:00
KEAU,DUNN WISCONSIN,KEAU 272100Z AUTO 13005KT 10SM CLR M17/M25 A2995 RMK T11701250 MADISHFEAU,21:00
KDBQ,DUBUQUE IOWA,KDBQ 220800Z AUTO 15017KT 10SM CLR M11/M15 A3011 RMK T11101150 MADISHFDBQ,08:00
KFOD,JONES IOWA,KFOD 220800Z AUTO 14008KT 10SM FEW016 OVC045 M07/M10 A2990 RMK T10701100 MADISHFFOD,08:00
KMPV,WASHINGTON VERMONT,KMPV 081900Z AUTO 15004KT 10SM BKN009 OVC016 M02/M04 A2985 RMK T10201040 VRB04KT  MADISHFMPV,19:00
KMKG,MUSKEGON MICHIGAN,KMKG 290100Z AUTO 34008KT 6SM -SN OVC016 M09/M12 A2962 RMK T10901120 MADISHFMKG,01:00
KLWC,RENO KANSAS,KLWC 190910Z AUTO 04004KT 8SM CLR M06/M09 A3052 RMK T10601090 MADISHFLWC,09:10
KHUT,KINGMAN KANSAS,KHUT 190820Z AUTO 05008KT 9SM FEW120 M06/M08 A3039 RMK T10601080 MADISHFHUT,08:20
